Sample	Rawname	Barcode	Pedigree	Genotype	FW	Run	Batch	pyruvate	valine	leucine	isoleucine	glycerate	fumarate	threonine	beta-alanine	homoserine	aspartate	GABA	threonate	alpha-ketoglutarate	asparagine	glycerol-1-P	shikimate	ornithine	citrulline	citrate	allantoin	lysine	hydroxycinnamate	tryosine	sacchalic_acid	mucic_acid	caffeic_acid	glucose-6-P	turanose	maltose	chlorogenic_acid_1	galactinol	chlorogenic_acid_2	chlorogenic_acid_3	raffinose	phosphate	glycine	serine	malate	glutamate	trans-aconitate	quinic_acid	fructose	glucose	sucrose
MGH200	181205_007	81-200-Durango 29	PI 620785	Durango 29	53.3	1	MGH1	0.880476939	0.939746096	0.907268318	0.95002278	0.939456699	3.096975628	0.782604449	0.538320848	1.018909168	0.887971078	1.186820308	0.805219304	0.906477309	0.280589369	0.138061809	0.419598631	0.560798294	0.305149077	0.673445391	0.539734606	0.192269415	0.763174722	0.570721227	0.69230787	0.833895934	0.639460512	0.748823141	0.68453166	0.542553408	0.056585783	0.158857336	0.23618936	0.346442312	0.184403463	1.092913538	1.001184625	0.457012472	1.176113031	0.721822707	0.797448776	0.339171062	0.73618808	0.475500921	1.260045846
MGH201	181205_008	81-201-B105	PI 594048	B105	53.1	1	MGH1	1.264291883	0.909156258	0.797315681	0.754226228	1.479990734	0.866495605	1.15369479	0.495784193	0.591303457	1.188201868	0.157227433	0.660140453	1.395631965	0.186224499	0.892750212	1.436997106	0.519642092	0.399883663	0.601370963	0.164085074	0.345628555	0.918222733	0.602739373	0.646943574	0.385227267	1.291521934	1.054562779	1.000924788	0.738874872	0.560340521	1.042517252	1.991161269	2.730589826	1.432618414	1.34545822	0.47572692	1.032100281	0.706515291	0.791865936	0.899935103	1.309033304	0.96631998	1.262068765	1.672197497
MGH202	181205_009	81-202-Va35	PI 587150	Va35	52.7	1	MGH1	1.202609894	2.038784833	3.180336181	2.19038462	0.480057952	0.565113137	2.18492609	1.515861073	2.922075938	1.0403318	0.993319076	0.6618397	0.732207068	2.451015273	0.654521083	0.57772465	2.634677578	1.945745262	1.14214163	0.639978125	4.806985274	0.64556069	2.020967302	1.257935515	0.590191086	0.680485597	1.410415992	0.782260304	0.733367078	0.568609378	0.463105362	0.141696562	0.180819278	0.26085174	2.788599645	2.34555523	2.747504321	0.631335753	0.52780963	0.712060728	0.469709534	0.623797342	0.556043975	0.663692285
MGH203	181205_010	81-203-4226	NSL 30904	4226	48.9	1	MGH1	1.006096261	0.603724702	0.139320719	0.036564232	0.726115559	0.638155263	0.567393768	1.138466777	0.922267363	0.883788518	0.679830986	1.052346222	1.289120419	0.15087202	0.25454796	1.087266872	1.074179092	0.615259659	1.157666196	0.146211394	2.282322204	0.552959428	0.689420132	0.682401446	1.233864178	0.924622235	1.501817468	1.075423912	0.811430325	1.325862137	1.46418041	1.143940479	1.149678239	0.959439693	4.053058655	0.760597605	0.941993145	1.845163394	1.073923834	1.303881283	1.49464864	1.235363702	1.009474849	1.168702229
MGH204	181205_011	81-204-CML52	PI 595561	CML52	56.2	1	MGH1	0.947526389	1.06305304	3.418261212	1.575238652	1.171002063	0.650562144	0.912185386	0.335309779	0.456698199	0.968365283	0.963055112	0.762220229	0.875233227	0.740395216	0.663111809	1.198830648	1.264016137	1.034823116	1.173101275	0.256052053	1.533661798	2.082652826	0.603311408	0.460015829	1.027325211	0.220785134	0.640953901	0.772376608	0.359681386	2.252206428	0.756653898	0.929865557	2.715692536	0.482125976	0.56901567	0.473712816	0.856540498	1.056025366	0.38968987	2.345632233	1.750052343	0.549830989	1.345949533	0.775929875
MGH205	181205_012	81-205-Mo47	PI 583352	Mo47	52	1	MGH1	1.193615341	1.075829409	0.598604042	0.358888904	0.819845202	1.187205402	1.443674645	1.275212684	1.702383559	0.910275342	0.382485419	0.774300786	1.078668652	2.034321098	1.201363975	1.124494072	1.723816011	1.279532769	0.587118586	0.579564794	0.585213788	0.845205853	1.059309297	0.131923845	0.53408775	0.435414091	0.86106224	0.538625087	0.929211759	0.267898417	0.392277145	1.671518139	2.402620108	1.194711513	1.544408509	1.999181995	1.756154543	1.894423184	1.00921745	2.117738062	2.096990831	1.276294243	0.924806433	1.502603022
MGH207	181205_013	81-207-Baja California 10	PI 620773	Baja California 10	54.2	1	MGH1	1.130554887	0.628961374	0.735395	0.562108711	1.366388118	0.914852957	0.68476992	0.549235772	0.769503905	0.949773395	0.193176454	1.029056733	1.221688334	0.132709694	0.981583366	1.149824986	0.716916281	0.767440449	1.032157215	0.219989516	1.430324919	0.682653659	0.662576204	0.800198034	0.614486086	0.764047948	0.774406307	0.592108931	0.82071486	0.166310516	0.662933457	0.455355767	0.712111552	1.02621483	0.412477289	0.53640035	0.56371527	1.12567892	0.647392203	1.897423426	0.943717612	0.865879959	1.129165557	0.869127692
MGH209	181205_014	81-209-Mexico 81	PI 620828	Mexico 81	50.8	1	MGH1	0.961046947	0.669847757	0.23504126	0.188221346	0.508011336	1.553347984	0.407749709	0.512379016	0.809953726	0.900019343	0.386331268	0.708259334	0.86326875	0.145263709	1.259170962	0.839880086	0.673752656	0.515710403	1.102617481	0.275021923	0.899319887	0.782095709	0.600374542	0.510148216	0.367834527	0.90598146	1.136716095	0.780963216	0.953825043	0.576484123	0.067059282	0.174605226	0.047336792	0.178510918	1.427963978	0.540384228	0.562295071	1.086650787	0.514033289	0.444454917	0.472227611	0.421839444	0.627472832	0.978484954
MGH210	181205_015	81-210-NC352	Ames 27172	NC352	47.9	1	MGH1	1.265491453	1.356574746	0.864167106	0.817453583	1.276639626	1.126284506	0.938187923	0.925817858	1.692429551	1.054822458	0.828964759	1.202975394	1.51067747	2.526084428	1.418057088	0.859348573	1.233774934	0.736570119	1.109666443	0.675220483	0.971218708	0.504270725	1.268738901	0.606887552	0.561448359	0.478258587	0.947450854	1.048677033	1.046810897	0.155295557	0.930640939	1.729971721	0.326139236	3.238864187	0.371899432	1.052694949	1.293057947	1.555404018	0.732482414	2.312314812	0.565370619	1.617318589	1.62919032	1.698374011
MGH212	181205_016	81-212-NC364	Ames 27178	NC364	49.1	1	MGH1	0.558509682	0.333915973	0.161579519	0.138677616	0.9622348	1.404505621	0.351258667	0.556870095	0.431904067	0.962617034	0.118749806	0.950480599	0.497531227	0.029516669	0.474150809	1.187040292	0.623824723	0.783708489	1.011727076	0.202100951	4.360552393	0.56177894	0.565050509	0.140597347	0.838603187	0.970535415	0.714614957	0.441527396	0.660291068	0.117908748	0.249982544	0.833686142	0.283990942	0.378626126	1.009845039	0.473172513	0.580262131	1.808497407	0.53358243	1.450713194	1.590074056	0.890851946	1.220583212	1.023580052
