ID	Range	genotype	experiment	sublock	Block	WHOLE WEIGHT (g)	W.W-COBS	20 KERNELS WEIGHT	COB LENGTH (CM)	COB DIA MM
21HL_JY0001	1	BGEM-0210-N_ B73	HN	sb1	bk1	106.533333333333	82.8	5.63333333333333	17.3333333333333	23.24
21HL_JY0002	1	BGEM-0118-S_ Mo17	HN	sb1	bk1	173.933333333333	143.9	7.23333333333333	20.2666666666667	23.7566666666667
21HL_JY0003	1	BGEM-0085-N_ B73	HN	sb1	bk1	140.3	117.166666666667	5.6	16.9333333333333	25.7566666666667
21HL_JY0004	1	BGEM-0221-S_ Mo17	HN	sb1	bk1	218.566666666667	188	6.6	20.5	24.25
21HL_JY0005	1	BGEM-0081-S_ Mo17	HN	sb1	bk1	62.95	35.8	6.45	18.75	22.035
21HL_JY0006	1	BGEM-0018-S_ Mo17	HN	sb1	bk1	220	187.733333333333	7.2	20.5666666666667	24.4733333333333
21HL_JY0007	1	BGEM-0046-N_ B73	HN	sb1	bk1	176.266666666667	149.6	5.06666666666667	17.7666666666667	24.6433333333333
21HL_JY0008	1	BGEM-0181-N_ B73	HN	sb1	bk1	222.133333333333	186.9	6.53333333333333	19.5666666666667	27.7566666666667
21HL_JY0009	1	BGEM-0248-N_ B73	HN	sb1	bk1	119.65	74.45	6.85	20.15	28.325
21HL_JY0010	1	BGEM-0032-S_ Mo17	HN	sb1	bk1	224.7	195.033333333333	6.1	22.0666666666667	24.8
21HL_JY0011	1	B73	HN	sb1	bk1	18.3666666666667	6.96666666666667	4.43333333333333	10.7333333333333	25.4133333333333
21HL_JY0012	1	BGEM-0122-N_ B73	HN	sb1	bk1	231.333333333333	191.366666666667	5.2	19.1	28.3833333333333
21HL_JY0013	1	B73	HN	sb1	bk1	43.5333333333333	25.1666666666667	4.73333333333333	12.5333333333333	27.51
21HL_JY0014	1	BGEM-0039-N_ B73	HN	sb1	bk1	204.366666666667	169.266666666667	5.83333333333333	17.0333333333333	27.1866666666667
21HL_JY0015	1	BGEM-0129-N_ B73	HN	sb1	bk1	166.5	144.166666666667	5	16.6333333333333	23.9533333333333
21HL_JY0016	1	BGEM-0132-N_ B73	HN	sb1	bk1	109.5	85.2333333333333	6	16.2333333333333	24.89
21HL_JY0017	1	BGEM-0190-N	HN	sb1	bk1	84.5666666666667	60.8666666666667	6.06666666666667	12.5	28.1533333333333
21HL_JY0018	1	BGEM-0087-N	HN	sb1	bk1	50.7333333333333	41.4333333333333	3.43333333333333	9.46666666666667	22.7866666666667
21HL_JY0019	1	BGEM-0113-S	HN	sb1	bk1	43.7	28	4.66666666666667	13.7333333333333	21.04
21HL_JY0020	1	BGEM-0261-S	HN	sb1	bk1	37.8333333333333	25.9666666666667	5.8	11.4	21.1833333333333
21HL_JY0021	1	BGEM-0078-S	HN	sb1	bk1	34	24.5333333333333	4.1	10.1333333333333	21.8066666666667
21HL_JY0022	1	BGEM-0219-S	HN	sb1	bk1	44.7	27.2	5.5	14.6	21.6
21HL_JY0023	1	BGEM-0092-S	HN	sb1	bk1	75.3333333333333	50.8666666666667	7.26666666666667	20.1666666666667	22.94
21HL_JY0024	1	B73	HN	sb1	bk1	95.1	73.7333333333333	5.33333333333333	13.0333333333333	28.2233333333333
21HL_JY0025	1	BGEM-0098-S	HN	sb1	bk1	45.7333333333333	37.3333333333333	4.96666666666667	12.2	17.5733333333333
21HL_JY0026	1	BGEM-0147-S_ Mo17	HN	sb2	bk1	140.3	121.9	5.86666666666667	18.8333333333333	20.92
21HL_JY0027	1	BGEM-0060-S_ Mo17	HN	sb2	bk1	165.5	144.366666666667	5.9	19.2333333333333	21.6
21HL_JY0028	1	B73	HN	sb2	bk1	70.5666666666667	53.7	4.73333333333333	11.5	26.6666666666667
21HL_JY0029	1	BGEM-0239-N_ B73	HN	sb2	bk1	200.133333333333	169.166666666667	5.4	17.9	24.5666666666667
