Full_Plot_Number,Genotype,Chlorophyll,Treatment,Block,Row,Range
30101,PI533800,538.3,HN,3,37,1
30102,PI533972,505.8,HN,3,38,1
30103,PI533807,441,HN,3,39,1
30104,PI534009,565,HN,3,40,1
30106,PI576348,703.3,HN,3,42,1
30107,PI656003,545,HN,3,43,1
30108,PI534135,500.7,HN,3,44,1
30109,PI656061,598.6,HN,3,45,1
30110,PI656009,539,HN,3,46,1
30111,PI656006,547.9,HN,3,47,1
30113,PI533961,624.6,HN,3,49,1
30114,PI533792,695,HN,3,50,1
30115,PI534063,636.6,HN,3,51,1
30116,PI533939,462.4,HN,3,52,1
30117,PI576347,582.8,HN,3,53,1
30118,PI595702,442.7,HN,3,54,1
30119,PI534117,757,HN,3,55,1
30120,PI597961,479.4,HN,3,56,1
30121,PI656112,680.4,HN,3,57,1
30123,PI656038,425.7,HN,3,59,1
30124,PI656105,490.1,HN,3,60,1
30125,PI533762,645.1,HN,3,61,1
30126,PI533877,480,HN,3,62,1
30127,PI534088,556.3,HN,3,63,1
30128,PI534144,534.6,HN,3,64,1
30129,PI597951,514.9,HN,3,65,1
30130,PI655977,610.6,HN,3,66,1
30131,PI576385,498.3,HN,3,67,1
30132,PI642998,609.5,HN,3,68,1
30133,PI659696,498.4,HN,3,69,1
30135,PI656035,418.5,HN,3,71,1
30202,PI533814,475.4,HN,3,38,2
30203,PI533903,641.9,HN,3,39,2
30204,PI533863,481.1,HN,3,40,2
30205,PI656002,495.3,HN,3,41,2
30206,PI576349,558.4,HN,3,42,2
30207,PI576381,475.8,HN,3,43,2
30208,PI655996,,HN,3,44,2
30209,PI656117,554.1,HN,3,45,2
30210,PI656034,355.7,HN,3,46,2
30211,PI656007,517.9,HN,3,47,2
30212,PI656040,485.5,HN,3,48,2
30213,PI534097,547.7,HN,3,49,2
30214,PI329440,543.6,HN,3,50,2
30215,PI533913,521,HN,3,51,2
30216,PI533987,486.5,HN,3,52,2
30217,PI576366,611.6,HN,3,53,2
30218,PI534145,413.1,HN,3,54,2
30219,PI534116,672.9,HN,3,55,2
30220,PI597950,484.8,HN,3,56,2
30221,PI656047,438.4,HN,3,57,2
30222,PI656119,507.8,HN,3,58,2
30223,PI655985,546.3,HN,3,59,2
30224,PI656081,537.5,HN,3,60,2
